mudah	2.8
gampang	2.6
praktis	2.5
simpel	2.4
simple	2.4
sederhana	2.0
jelas	2.0
paham	1.8
lancar	2.7
cepat	2.5
responsif	2.3
respon	1.2
stabil	2.2
ringan	2.1
baik	2.0
bagus	2.4
mantap	2.8
puas	2.7
suka	2.3
nyaman	2.4
terbaik	3.0
keren	2.5
oke	1.8
ok	1.8
sip	2.0
top	2.2
berhasil	2.5
hasil	1.2
sukses	2.6
normal	1.7
aman	2.1
akurat	2.2
efektif	2.3
efisien	2.4
berguna	2.5
guna	2.2
bantu	2.6
manfaat	2.5
sesuai	2.0
lengkap	2.1
informatif	2.2
solutif	2.4
rekomendasi	2.1
rekomended	2.1
recommended	2.1
kualitas	1.5
optimal	2.2
simpleks	1.8
userfriendly	2.4
friendly	2.0
klaim	1.0
jht	0.6
saldo	0.6
cair	2.4
mencairkan	2.2
bpjs	0.4
ketenagakerjaan	0.4
daftar	0.8
registrasi	0.8
login	0.4
masuk	0.4
verifikasi	0.6
validasi	0.4
update	0.5
layanan	1.2
servis	1.0
service	1.0
fitur	1.2
notifikasi	0.8
data	0.4
profil	0.4
profile	0.4
kartu	0.4
peserta	0.4
digital	1.0
online	0.8
klaimjht	1.5
jaminan	0.8
hari	0.2
kerja	0.3
informasi	1.2
cek	0.6
lihat	0.5
akses	0.8
download	0.4
unduh	0.4
instal	0.4
install	0.4
buka	0.4
pakai	0.8
gunakan	0.8
guna	2.2
urus	0.8
proses	0.8
pengajuan	0.8
ajuan	0.8
rekening	0.5
bank	0.4
transfer	0.8
terima	1.2
dapat	1.0
masukrekening	1.5
terima	1.2
makasih	2.0
terimakasih	2.0
thanks	2.0
thank	2.0
alhamdulillah	2.2
syukur	2.0
hebat	2.6
luarbiasa	3.0
istimewa	2.7
sempurna	3.2
puji	2.0
apresiasi	2.1
membantu	2.6
terbantu	2.6
memuaskan	2.7
sangatpuas	3.0
susah	-2.7
sulit	-2.8
ribet	-3.0
ruwet	-2.8
rumit	-2.7
bingung	-2.3
membingungkan	-2.4
lambat	-2.5
lemot	-2.8
lelet	-2.7
berat	-2.2
macet	-2.7
hang	-2.8
crash	-3.0
bug	-2.6
error	-3.0
eror	-3.0
gagal	-3.2
fail	-2.8
failure	-2.8
masalah	-2.3
problem	-2.3
kendala	-2.2
ganggu	-2.4
terganggu	-2.4
buruk	-3.0
jelek	-3.0
parah	-3.2
kecewa	-3.0
mengecewakan	-3.0
kesal	-2.8
marah	-3.0
payah	-3.1
aneh	-2.0
percuma	-2.7
sia	-2.2
bohong	-3.0
menipu	-3.3
tipu	-3.3
sampah	-3.5
amburadul	-3.2
kacau	-3.1
hancur	-3.3
parahnya	-3.2
busuk	-3.0
buruknya	-3.0
ngaco	-2.8
ngawur	-2.7
zonk	-2.8
kapok	-2.5
malas	-2.0
jengkel	-2.8
emosi	-2.8
muak	-3.0
kesel	-2.8
benci	-3.2
bodoh	-3.0
tolol	-3.2
bobrok	-3.3
menyusahkan	-3.0
sulitnya	-2.8
lola	-2.5
tidak	-1.2
bukan	-0.8
belum	-1.0
kurang	-1.4
jangan	-1.0
tanpa	-0.8
ga	-1.2
gak	-1.2
nggak	-1.2
ngga	-1.2
enggak	-1.2
gk	-1.2
tdk	-1.2
tak	-1.2
ndak	-1.2
kagak	-1.2
gabisa	-3.0
gakbisa	-3.0
nggakbisa	-3.0
tidakbisa	-3.0
takbisa	-3.0
otp	-0.8
kode	-0.4
server	-1.5
koneksi	-1.5
jaringan	-1.4
internet	-0.8
loading	-1.8
muter	-2.4
pending	-2.4
blokir	-2.8
terblokir	-2.8
hilang	-2.8
kosong	-2.2
ulang	-1.5
terus	-1.2
lama	-2.4
antri	-1.8
antre	-1.8
cs	-0.8
customer	-0.5
admin	-0.5
helpdesk	-0.5
responlama	-2.8
servererror	-3.2
serversibuk	-2.8
logingagal	-3.2
masukgagal	-3.0
validasigagal	-3.0
klaimgagal	-3.2
cairgagal	-3.0
pencairangagal	-3.0
updategagal	-2.8
datagagal	-2.5
datasalah	-2.8
datatidakcocok	-3.0
datatidaksesua	-3.0
tidakcair	-3.2
tidakmuncul	-2.8
saldohilang	-3.2
saldokosong	-3.0
akun	-0.3
akunhilang	-3.0
akunterblokir	-3.0
sandi	-0.3
password	-0.3
lupa	-1.4
reset	-0.8
upgrade	-0.4
maintenance	-1.8
perbaikan	-1.0
down	-2.5
offline	-2.4
uninstall	-2.0
hapus	-1.5
masuk	0.4
login	0.4
logout	-0.5
otp	-0.8
kode	-0.4
verifikasi	0.6
validasi	0.4
captcha	-1.0
sandi	-0.3
password	-0.3
pin	-0.3
akun	-0.3
terkunci	-2.5
kunci	-1.8
blokir	-2.8
terblokir	-2.8
reset	-0.8
salah	-2.0
cocok	1.0
sesuai	2.0
loading	-1.8
load	-1.5
buffering	-1.8
lemot	-2.8
lambat	-2.5
lelet	-2.7
lag	-2.4
freeze	-2.7
hang	-2.8
crash	-3.0
forceclose	-3.0
fc	-2.5
bug	-2.6
error	-3.0
eror	-3.0
blank	-2.5
putih	-1.8
hitam	-1.5
macet	-2.7
stuck	-2.7
muter	-2.4
down	-2.5
gagal	-3.2
ulang	-1.5
refresh	-0.5
restart	-0.8
installulang	-1.5
update	0.5
upgrade	-0.4
versi	0.0
aplikasi	0.0
apk	0.0
app	0.0
klaim	1.0
pengajuan	0.8
ajuan	0.8
proses	0.8
cair	2.4
pencairan	1.5
saldo	0.6
jht	0.6
jkp	0.4
jkk	0.4
jkm	0.4
bpjs	0.4
ketenagakerjaan	0.4
rekening	0.5
bank	0.4
transfer	0.8
uang	0.6
dana	0.6
peserta	0.4
kartu	0.4
nik	0.0
ktp	0.0
email	0.0
hp	0.0
nomor	0.0
nomer	0.0
data	0.4
profil	0.4
pekerja	0.0
perusahaan	0.0
tidakbisa	-3.0
gakbisa	-3.0
gabisa	-3.0
nggakbisa	-3.0
tidakmau	-2.5
tidakada	-2.4
tidaksesuai	-2.8
tidakjelas	-2.8
tidakmudah	-2.8
tidakberguna	-3.0
tidakbantu	-2.8
tidaklancar	-2.8
tidakpraktis	-2.8
tidakresponsif	-2.8
tidakvalid	-2.7
tidaknormal	-2.5
sangatmudah	3.2
sangatbantu	3.1
sangatmembantu	3.1
sangatberguna	3.0
sangatpuas	3.0
sangatbagus	3.0
sangatlancar	3.1
sangatcepat	3.0
mudahguna	3.0
mudahpakai	3.0
cepatcair	3.0
lancarcair	3.0
klaimlancar	2.8
prosescepat	2.8
aplikasibagus	2.8
aplikasimudah	2.8
